This dataset was obtained through the ICEH retriever, a data platform developed by the International Center for Equity in Health (https://www.equidade.org/retriever)
Database version: 2026-04
ISO,Country,Year,Final Year,Source,UNICEF Region,Indicator Code,Indicator,Reference,Strat,Level,Estimate,Standard Error,Sample Size
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D07,32.7,4.5,136
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D08,30.4,4.5,118
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D09,26.9,4.1,117
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D10,18.3,4.1,117
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth quintiles,Q1,60.9,4.3,184
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth quintiles,Q2,55.7,3.9,209
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth quintiles,Q3,47.6,3.7,215
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth quintiles,Q4,31.6,3.7,254
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth quintiles,Q5,22.7,2.9,234
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education,none,47.3,2.3,868
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education,primary,27.2,3.6,182
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education,secondary+,17.3,5.7,43
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education (4 groups),none,47.3,2.3,868
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education (4 groups),primary,27.2,3.6,182
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education (4 groups),secondary,13.6,5.8,37
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,woman's education (4 groups),higher,SS,SS,6
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,area,urban,26.8,5.1,70
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,area,rural,40.9,4.7,110
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,national,all,35.4,3.5,180
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,sex,male,40.1,4.6,93
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,sex,female,30.1,4.8,87
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,subnational unit,Somaliland,17.0,5.1,47
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,subnational unit,Puntland,20.4,5.5,38
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,subnational unit,South Central,45.5,4.5,95
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D01,SS,SS,10
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D02,SS,SS,15
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D03,53.8,10.1,27
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D04,SS,SS,11
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D05,SS,SS,16
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D06,SS,SS,20
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D07,27.0,7.8,33
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D08,SS,SS,13
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D09,SS,SS,17
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth deciles,D10,SS,SS,18
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth quintiles,Q1,46.4,7.0,25
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth quintiles,Q2,44.3,8.8,38
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth quintiles,Q3,45.8,8.5,36
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth quintiles,Q4,22.7,6.6,46
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,wealth quintiles,Q5,18.6,6.7,35
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education,none,38.3,4.0,137
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education,primary,30.9,8.3,31
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education,secondary+,SS,SS,11
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education (4 groups),none,38.3,4.0,137
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education (4 groups),primary,30.9,8.3,31
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education (4 groups),secondary,SS,SS,9
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur20_23,Percentage of children who are currently breastfeeding,Age 20-23 months,woman's education (4 groups),higher,SS,SS,2
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,area,urban,74.6,3.2,237
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,area,rural,83.5,2.1,416
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,national,all,80.4,1.8,653
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,sex,male,80.8,2.5,324
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,sex,female,80.1,2.5,329
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,subnational unit,Somaliland,74.9,4.1,135
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,subnational unit,Puntland,67.5,4.3,148
