facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
lMSdgyIxIn3,Kenya,Elgeyo Marakwet County,Marakwet East Sub County,Embobut/Embulot Ward
LmsGdyyrHcB,Kenya,Nairobi County,Kamukunji Sub County,California Ward
Lmw7ijQcfaK,Kenya,Kisii County,South Mugirango Sub County,Borabu/Chitago Ward
Lmx5JKQupiP,Kenya,Bungoma County,Kanduyi Sub County,Marakaru/Tuuti Ward
lMyiiSDjqq5,Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Wamumu Ward
LN3dTQqi9LS,Kenya,Nyandarua County,Ndaragwa Sub County,Shamata Ward
lN3Mn0z9XhW,Kenya,Kilifi County,Kilifi South Sub County,Mtepeni Ward
Ln42hVA1Qpk,Kenya,Kisumu County,Seme Sub County,North Seme Ward
LN4tQYiay1q,Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward
LN5lbj0gMTC,Kenya,Vihiga County,Sabatia Sub County,Chavakali Ward
lna5hD9un4O,Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Thiba Ward
LNeiFE8eJWb,Kenya,Trans Nzoia County,Cherangany Sub County,Sinyerere Ward
lnFZf9dVTe9,Kenya,Mombasa County,Mvita Sub County,Majengo Ward
LnHHTiD9lBD,Kenya,Baringo County,Mogotio Sub County,Mogotio Ward
LNmiGnZkIZy,Kenya,Kericho County,Bureti Sub County,Chemosot Ward
lNnqJRMHcfo,Kenya,Baringo County,Marigat Sub County,Marigat Ward
lNOoLAelIzT,Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward
Lnpz8VDOpLV,Kenya,Kirinyaga County,Kirinyaga West Sub County,Kiine Ward
lnQN0iiGim7,Kenya,Wajir County,Wajir North Sub County,Bute Ward
LNSfbcw8qT2,Kenya,Turkana County,Kibish Sub County,Kibish Ward
LNsxqLNBNVj,Kenya,Kiambu County,Ruiru Sub County,Biashara Ward
LnTpVBjb0h7,Kenya,Kitui County,Mwingi North Sub County,Ngomeni Ward
lnvcLcYexPi,Kenya,Nyeri County,Nyeri South Sub County,Mahiga Ward
LnVFx00BhRw,Kenya,Bomet County,Bomet Central Sub County,Silibwet Township Ward
lNvNL0l1o4p,Kenya,Nyamira County,Manga Sub County,Kamera Ward
lnvRVrUEcv3,Kenya,Nandi County,Nandi Hills Sub County,Kapchorua Ward
LNxAuLQveoD,Kenya,Makueni County,Makueni Sub County,Mbitini Ward
lnxSW2jBvnL,Kenya,Kericho County,Kipkelion East Sub County,Tendeno/Sorget Ward
LNykC1tXLc7,Kenya,Baringo County,Baringo Central Sub County,Kabarnet Ward
lO2J58BmUMO,Kenya,Migori County,Awendo Sub County,Central Sakwa Ward
LO3ISbjAYOa,Kenya,Nandi County,Emgwen Sub County,Kilibwoni Ward
LO4Cg3D7grS,Kenya,Nyeri County,Kieni East Sub County,Naromoru/Kiamathaga Ward
LO4W7qKDqXr,Kenya,Machakos County,Kathiani Sub County,Upper Kaewa/Iveti Ward
lo8DcKBTH5U,Kenya,Muranga County,Kiharu Sub County,Mbiri Ward
Lo94V4ewfHK,Kenya,Kisii County,Nyaribari Chache Sub County,Kisii Central Ward
lobiB7sMHcN,Kenya,Homa Bay County,Rachuonyo North  Sub County,Kendu Bay Town Ward
LoCWxj1Cjb8,Kenya,Bungoma County,Kimilili Sub County,Kimilili Ward
lOEIhtXlVHf,Kenya,Baringo County,Koibatek Sub County,Koibatek Ward
loMyppvQa0m,Kenya,Nandi County,Nandi Hills Sub County,Nandi Hills Ward
lOp8QUgfbRY,Kenya,Makueni County,Kilome Sub County,Kasikeu Ward
LOQQ2sdzVry,Kenya,Narok County,Narok North Sub County,Olorropil Ward
lOr31ncb7j7,Kenya,Kakamega County,Lugari Sub County,Chekalini Ward
loRHn4PnM6C,Kenya,Kajiado County,Kajiado North Sub County,Nkaimurunya Ward
lorviMKo4jv,Kenya,Nairobi County,Kibra Sub County,Lindi Ward
Los30wzi8hZ,Kenya,Kiambu County,Thika Town Sub County,Kamenu Ward
lOuSf3QZaCQ,Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward
loVZFUBEzjo,Kenya,Kwale County,Kinango Sub County,Kasemeni Ward
loWHeH5Myab,Kenya,Kitui County,Kitui Central Sub County,Township Ward
loWxjqe9Efw,Kenya,Baringo County,Tiaty East Sub County,Tangulbei/Korossi Ward
loZJq6iHW4H,Kenya,Kajiado County,Kajiado Central Sub County,Matapato North Ward
lOZSQ51ohBI,Kenya,Nyeri County,Nyeri Central Sub County,Rware Ward
Lp3eEbcrL5f,Kenya,Trans Nzoia County,Kiminini Sub County,Waitaluk Ward
LP4bDdlloLH,Kenya,Muranga County,Muranga South Sub County,Kimorori/Wempa Ward
LP5W13WMkmh,Kenya,Narok County,Narok Central Sub County,Narok Town Ward
lp72hq99oou,Kenya,Mombasa County,Mvita Sub County,Tudor Ward
LPaC88wcGY8,Kenya,Embu County,Runyenjes Sub County,Kyeni North Ward
Lpc3U99ALpL,Kenya,Muranga County,Kigumo Sub County,Kangari Ward
lPChuIvZbpd,Kenya,Kajiado County,Kajiado Central Sub County,Ildamat Ward
lpFeJmvOTyj,Kenya,Mombasa County,Changamwe Sub County,Airport Ward
LpifihME2HZ,Kenya,Migori County,Kuria West Sub County,Bukira Central/ikerege Ward
LPKh4nXw3jE,Kenya,Migori County,Nyatike Sub County,Kanyasa Ward
lPnSCubFVlG,Kenya,Mandera County,Mandera East Sub County,Township Ward
lpP8ArrGhno,Kenya,Kitui County,Kitui South Sub County,Ikanga/Kyatune Ward
lpqoNGEA3ru,Kenya,Makueni County,Kaiti Sub County,Kee Ward
LPTDwZckT6Q,Kenya,Nakuru County,Nakuru North Sub County,Kiamaina Ward
LpYzGC7QJoQ,Kenya,Machakos County,Kathiani Sub County,Mitamboni Ward
lq648VggQal,Kenya,Nyeri County,Mathira East Sub County,Iriaini Ward
lq9mb305HDu,Kenya,Kisumu County,Seme Sub County,North Seme Ward
lqaUykTl4uq,Kenya,Kiambu County,Thika Town Sub County,Hospital Ward
LqcR0oPMxg9,Kenya,West Pokot County,West Pokot Sub County,Mnagei Ward
LqCuWQqLouY,Kenya,Nyeri County,Nyeri Central Sub County,Rware Ward
LQH0rgigAtR,Kenya,Mombasa County,Likoni Sub County,Mtongwe Ward
LqjMvQa9FEg,Kenya,Trans Nzoia County,Saboti Sub County,Matisi Ward
lqJWVMMeNeV,Kenya,Machakos County,Masinga Sub County,Masinga Central Ward
lQkSZhwuHbA,Kenya,Narok County,Transmara East Sub County,Mogondo Ward
lqmlibO6CSJ,Kenya,Elgeyo Marakwet County,Keiyo North Sub County,Emsoo Ward
Lqmzx6zAmAT,Kenya,Nakuru County,Nakuru North Sub County,Bahati Ward
LQn6OnAYyeL,Kenya,Homa Bay County,Ndhiwa Sub County,Kabuoch South/Pala Ward
LQpi5xNuJIf,Kenya,Kiambu County,Kiambu Town Sub County,Riabai Ward
lqQBF4BxE1W,Kenya,Muranga County,Kigumo Sub County,Kahumbu Ward
lQR7DNJikg8,Kenya,Makueni County,Kilome Sub County,Mukaa Ward
LqRh7Pi7X2F,Kenya,Bomet County,Chepalungu Sub County,Chebunyo Ward
lqtFpfrMOcJ,Kenya,Nakuru County,Kuresoi South Sub County,Keringet Ward
lqUH9qJYc2r,Kenya,Nyandarua County,Kipipiri Sub County,Wanjohi Ward
lqXNQ5pp520,Kenya,Machakos County,Kangundo Sub County,Kangundo Central Ward
lqY4hBmmFxS,Kenya,Turkana County,Turkana West Sub County,Letea Ward
LqYOT9fm4Db,Kenya,Mandera County,Mandera South Sub County,Elwak South Ward
lR1PCm5UL5e,Kenya,Kiambu County,Gatundu South Sub County,Ndarugu Ward
Lr3cD5NsM82,Kenya,Migori County,Nyatike Sub County,Muhuru Ward
LR3tTMOjg7J,Kenya,Tharaka Nithi County,Maara Sub County,Chogoria Ward
lR6W5tK8hAq,Kenya,Mombasa County,Kisauni Sub County,Junda Ward
lr77VokwIqJ,Kenya,Kisumu County,Seme Sub County,West Seme Ward
Lr7GlbUWZyC,Kenya,Machakos County,Machakos Sub County,Mumbuni North Ward
LR7NnkMGvxy,Kenya,Turkana County,Turkana West Sub County,Kalobeyei Ward
lr9UnR5a0rN,Kenya,Kwale County,Msambweni Sub County,Kinondo Ward
lRDC7vSY9Ie,Kenya,Trans Nzoia County,Saboti Sub County,Matisi Ward
lRhLDxB9xr7,Kenya,West Pokot County,Pokot Central Sub County,Masool Ward
lriDX8NjRjR,Kenya,Marsabit County,Moyale Sub County,Moyale Township Ward
LRiycfx0jQM,Kenya,Bungoma County,Webuye East Sub County,Ndivisi Ward
lrjPnOvXZVX,Kenya,Meru County,Imenti North Sub County,Municipality Ward
